replica	lenguaje	tamanio	tipo dato	datos				
0	JAVA	200	int32	13,013225			3	ALGORITMOS
0	JAVA	200	int32	13,46225			4	TIPOS DATO
0	JAVA	200	int32	9,4292			17	TAMAÑOS
0	JAVA	200	int64	14,1037			204	experimentos por replica
0	JAVA	200	int64	13,1736				
0	JAVA	200	int64	10,1027				
0	JAVA	200	float	13,213675				
0	JAVA	200	float	12,957125				
0	JAVA	200	float	9,99845				
0	JAVA	200	double	13,33395				
0	JAVA	200	double	13,317925				
0	JAVA	200	double	10,0065				
0	JAVA	300	int32	8,064344444				
0	JAVA	300	int32	7,073677778				
0	JAVA	300	int32	9,422066667				
0	JAVA	300	int64	7,141388889				
0	JAVA	300	int64	7,985944444				
0	JAVA	300	int64	10,04568889				
0	JAVA	300	float	7,230466667				
0	JAVA	300	float	7,3837				
0	JAVA	300	float	9,992222222				
0	JAVA	300	double	7,105744444				
0	JAVA	300	double	8,563244444				
0	JAVA	300	double	10,57665556				
0	JAVA	400	int32	2,18891875				
0	JAVA	400	int32	2,51765625				
0	JAVA	400	int32	14,49858125				
0	JAVA	400	int64	2,19091875				
0	JAVA	400	int64	3,772475				
0	JAVA	400	int64	11,4537375				
0	JAVA	400	float	2,102725				
0	JAVA	400	float	2,41341875				
0	JAVA	400	float	9,0062375				
0	JAVA	400	double	2,146825				
0	JAVA	400	double	2,24504375				
0	JAVA	400	double	9,24276875				
0	JAVA	500	int32	1,12124				
0	JAVA	500	int32	2,578596				
0	JAVA	500	int32	1,553572				
0	JAVA	500	int64	1,053248				
0	JAVA	500	int64	3,882004				
0	JAVA	500	int64	2,061592				
0	JAVA	500	float	1,087884				
0	JAVA	500	float	1,719064				
0	JAVA	500	float	1,349592				
0	JAVA	500	double	1,058376				
0	JAVA	500	double	2,2335				
0	JAVA	500	double	1,491996				
0	JAVA	600	int32	0,968397222				
0	JAVA	600	int32	1,796927778				
0	JAVA	600	int32	1,248138889				
0	JAVA	600	int64	1,030761111				
0	JAVA	600	int64	2,283352778				
0	JAVA	600	int64	2,253061111				
0	JAVA	600	float	0,908708333				
0	JAVA	600	float	1,667747222				
0	JAVA	600	float	1,256158333				
0	JAVA	600	double	0,915833333				
0	JAVA	600	double	2,373333333				
0	JAVA	600	double	2,101611111				
0	JAVA	700	int32	0,737002041				
0	JAVA	700	int32	2,256826531				
0	JAVA	700	int32	1,527677551				
0	JAVA	700	int64	0,839763265				
0	JAVA	700	int64	5,91042449				
0	JAVA	700	int64	3,501091837				
0	JAVA	700	float	1,037434694				
0	JAVA	700	float	1,7908				
0	JAVA	700	float	1,043977551				
0	JAVA	700	double	0,988342857				
0	JAVA	700	double	6,1166				
0	JAVA	700	double	3,481455102				
0	JAVA	800	int32	0,457028125				
0	JAVA	800	int32	1,656723438				
0	JAVA	800	int32	0,973689063				
0	JAVA	800	int64	0,80330625				
0	JAVA	800	int64	6,8924875				
0	JAVA	800	int64	3,630157813				
0	JAVA	800	float	0,917560938				
0	JAVA	800	float	1,704329688				
0	JAVA	800	float	0,9797				
0	JAVA	800	double	0,924578125				
0	JAVA	800	double	6,900004688				
0	JAVA	800	double	3,597082813				
0	JAVA	900	int32	0,600262963				
0	JAVA	900	int32	3,87002963				
0	JAVA	900	int32	2,022916049				
0	JAVA	900	int64	0,753496296				
0	JAVA	900	int64	9,632309877				
0	JAVA	900	int64	4,961271605				
0	JAVA	900	float	0,991066667				
0	JAVA	900	float	4,847633333				
0	JAVA	900	float	2,453711111				
0	JAVA	900	double	1,008883951				
0	JAVA	900	double	9,979560494				
0	JAVA	900	double	5,064614815				
0	JAVA	1000	int32	0,454461				
0	JAVA	1000	int32	1,716497				
0	JAVA	1000	int32	1,098789				
0	JAVA	1000	int64	0,642404				
0	JAVA	1000	int64	10,126755				
0	JAVA	1000	int64	5,132813				
0	JAVA	1000	float	0,887434				
0	JAVA	1000	float	1,647222				
0	JAVA	1000	float	0,999366				
0	JAVA	1000	double	0,892886				
0	JAVA	1000	double	9,742532				
0	JAVA	1000	double	5,079574				
0	JAVA	1100	int32	0,447419008				
0	JAVA	1100	int32	7,378431405				
0	JAVA	1100	int32	3,625203306				
0	JAVA	1100	int64	0,574380992				
0	JAVA	1100	int64	10,63334876				
0	JAVA	1100	int64	5,424685124				
0	JAVA	1100	float	0,875752893				
0	JAVA	1100	float	7,268696694				
0	JAVA	1100	float	3,624673554				
0	JAVA	1100	double	0,874692562				
0	JAVA	1100	double	10,68132314				
0	JAVA	1100	double	5,412757851				
0	JAVA	1200	int32	0,576852083				
0	JAVA	1200	int32	10,58912708				
0	JAVA	1200	int32	5,29835				
0	JAVA	1200	int64	0,56660625				
0	JAVA	1200	int64	12,82481806				
0	JAVA	1200	int64	6,567423611				
